oligo	actualcounts	mappedcounts
UTR10.oligo433	750	750
UTR13.oligo163	221	221
UTR17.oligo266	1490	1490
UTR13.oligo257	1882	1882
UTR13.oligo365	1352	1352
UTR15.oligo332	1365	1365
UTR1.oligo834	1694	1694
UTR15.oligo749	1682	1682
UTR16.oligo376	1403	1403
UTR9.oligo530	1284	1284
UTR10.oligo508	1374	1374
UTR3.oligo467	1279	1279
UTR1.oligo194	1656	1656
UTR7.oligo159	673	673
UTR1.oligo835	1301	1301
UTR10.oligo574	1093	1093
UTR1.oligo615	1095	1095
UTR6.oligo382	1348	1348
UTR9.oligo64	1605	1605
UTR7.oligo142	1069	1069
UTR9.oligo299	1775	1775
UTR17.oligo867	851	851
UTR9.oligo200	1343	1343
UTR12.oligo105	1924	1924
UTR12.oligo761	1611	1611
UTR10.oligo277	483	483
UTR3.oligo529	729	729
UTR17.oligo625	1816	1816
UTR10.oligo8	1175	1175
UTR14.oligo151	1492	1492
UTR17.oligo851	1741	1741
UTR12.oligo521	755	755
UTR3.oligo16	1866	1866
UTR3.oligo317	1604	1604
UTR1.oligo204	669	669
UTR13.oligo305	1671	1671
UTR9.oligo24	1383	1383
UTR15.oligo25	1637	1637
UTR6.oligo552	1035	1035
UTR10.oligo29	312	312
UTR2.oligo74	907	907
UTR1.oligo507	1544	1544
UTR1.oligo670	1768	1768
UTR5.oligo17	1454	1454
UTR3.oligo474	957	957
UTR17.oligo760	1475	1475
UTR13.oligo244	954	954
UTR17.oligo745	1464	1464
UTR15.oligo442	691	691
UTR14.oligo52	1901	1901
UTR4.oligo798	179	179
UTR7.oligo210	1491	1491
UTR12.oligo89	573	573
UTR7.oligo157	1401	1401
UTR9.oligo184	1333	1333
UTR14.oligo253	1822	1822
UTR1.oligo858	1541	1541
UTR2.oligo158	1706	1706
UTR17.oligo407	1207	1207
UTR1.oligo267	1731	1731
UTR15.oligo227	723	723
UTR7.oligo197	1902	1902
UTR2.oligo37	1788	1788
UTR15.oligo408	1683	1683
UTR15.oligo326	1163	1163
UTR6.oligo430	1336	1336
UTR3.oligo260	1189	1189
UTR1.oligo521	487	487
UTR7.oligo696	1616	1616
UTR15.oligo766	1744	1744
UTR17.oligo834	464	464
UTR7.oligo359	486	486
UTR3.oligo263	895	895
UTR1.oligo621	1039	1039
UTR7.oligo434	866	866
UTR1.oligo548	1358	1358
UTR3.oligo178	1508	1508
UTR12.oligo156	1438	1438
UTR12.oligo819	760	760
UTR6.oligo245	1096	1096
UTR1.oligo425	1782	1782
